Timestamp,Src_IP,Dst_IP,Type,Code,Payload_Length,label
2020-10-23 08:35:28,10.0.2.4,10.0.2.5,8,9,120,
2020-10-23 08:35:28,10.0.2.5,10.0.2.4,0,9,120,
2020-10-23 08:35:28,10.0.2.4,10.0.2.5,8,0,150,
2020-10-23 08:35:28,10.0.2.5,10.0.2.4,0,0,150,
2020-10-23 08:35:29,10.0.2.5,10.0.2.4,3,3,300,
2020-10-23 08:35:30,10.0.2.4,10.0.2.5,8,9,120,
2020-10-23 08:35:30,10.0.2.5,10.0.2.4,0,9,120,
2020-10-23 08:35:30,10.0.2.4,10.0.2.5,8,0,150,
2020-10-23 08:35:30,10.0.2.5,10.0.2.4,0,0,150,
2020-10-23 08:35:30,10.0.2.5,10.0.2.4,3,3,300,
2020-10-23 08:35:38,10.0.2.4,10.0.2.5,8,9,120,
2020-10-23 08:35:38,10.0.2.5,10.0.2.4,0,9,120,
2020-10-23 08:35:38,10.0.2.4,10.0.2.5,8,0,150,
2020-10-23 08:35:38,10.0.2.5,10.0.2.4,0,0,150,
2020-10-23 08:35:38,10.0.2.5,10.0.2.4,3,3,300,
2020-10-23 08:35:39,10.0.2.4,10.0.2.5,8,9,120,
2020-10-23 08:35:39,10.0.2.5,10.0.2.4,0,9,120,
2020-10-23 08:35:39,10.0.2.4,10.0.2.5,8,0,150,
2020-10-23 08:35:39,10.0.2.5,10.0.2.4,0,0,150,
2020-10-23 08:35:39,10.0.2.5,10.0.2.4,3,3,300,
